t_interval_id,t_lower,t_upper
0,2015-01-01 00:00:00,2015-01-01 00:10:00
1,2015-01-01 00:10:00,2015-01-01 00:20:00
2,2015-01-01 00:20:00,2015-01-01 00:30:00
3,2015-01-01 00:30:00,2015-01-01 00:40:00
4,2015-01-01 00:40:00,2015-01-01 00:50:00
5,2015-01-01 00:50:00,2015-01-01 01:00:00
6,2015-01-01 01:00:00,2015-01-01 01:10:00
7,2015-01-01 01:10:00,2015-01-01 01:20:00
8,2015-01-01 01:20:00,2015-01-01 01:30:00
9,2015-01-01 01:30:00,2015-01-01 01:40:00
10,2015-01-01 01:40:00,2015-01-01 01:50:00
11,2015-01-01 01:50:00,2015-01-01 02:00:00
12,2015-01-01 02:00:00,2015-01-01 02:10:00
13,2015-01-01 02:10:00,2015-01-01 02:20:00
14,2015-01-01 02:20:00,2015-01-01 02:30:00
15,2015-01-01 02:30:00,2015-01-01 02:40:00
16,2015-01-01 02:40:00,2015-01-01 02:50:00
17,2015-01-01 02:50:00,2015-01-01 03:00:00
18,2015-01-01 03:00:00,2015-01-01 03:10:00
19,2015-01-01 03:10:00,2015-01-01 03:20:00
20,2015-01-01 03:20:00,2015-01-01 03:30:00
21,2015-01-01 03:30:00,2015-01-01 03:40:00
22,2015-01-01 03:40:00,2015-01-01 03:50:00
23,2015-01-01 03:50:00,2015-01-01 04:00:00
24,2015-01-01 04:00:00,2015-01-01 04:10:00
25,2015-01-01 04:10:00,2015-01-01 04:20:00
26,2015-01-01 04:20:00,2015-01-01 04:30:00
27,2015-01-01 04:30:00,2015-01-01 04:40:00
28,2015-01-01 04:40:00,2015-01-01 04:50:00
29,2015-01-01 04:50:00,2015-01-01 05:00:00
30,2015-01-01 05:00:00,2015-01-01 05:10:00
31,2015-01-01 05:10:00,2015-01-01 05:20:00
32,2015-01-01 05:20:00,2015-01-01 05:30:00
33,2015-01-01 05:30:00,2015-01-01 05:40:00
34,2015-01-01 05:40:00,2015-01-01 05:50:00
35,2015-01-01 05:50:00,2015-01-01 06:00:00
36,2015-01-01 06:00:00,2015-01-01 06:10:00
37,2015-01-01 06:10:00,2015-01-01 06:20:00
38,2015-01-01 06:20:00,2015-01-01 06:30:00
39,2015-01-01 06:30:00,2015-01-01 06:40:00
40,2015-01-01 06:40:00,2015-01-01 06:50:00
41,2015-01-01 06:50:00,2015-01-01 07:00:00
42,2015-01-01 07:00:00,2015-01-01 07:10:00
43,2015-01-01 07:10:00,2015-01-01 07:20:00
44,2015-01-01 07:20:00,2015-01-01 07:30:00
45,2015-01-01 07:30:00,2015-01-01 07:40:00
46,2015-01-01 07:40:00,2015-01-01 07:50:00
47,2015-01-01 07:50:00,2015-01-01 08:00:00
48,2015-01-01 08:00:00,2015-01-01 08:10:00
49,2015-01-01 08:10:00,2015-01-01 08:20:00
50,2015-01-01 08:20:00,2015-01-01 08:30:00
